,fecha,minimo,super_minimo,maximo,super_maximo,promedio,promedio_ccl
0,18-07-2022,3703.39,coto,4771.35,jumbo,4135.0,13.6
1,21-07-2022,3708.39,coto,5032.58,disco,4401.0,13.34
2,29-07-2022,3722.39,coto,4398.78,disco,4055.0,14.06
3,05-08-2022,3690.85,carrefour,4635.54,dia,4079.0,14.33
4,12-08-2022,3036.35,coto,4809.58,dia,4080.0,14.19
5,19-08-2022,3756.35,coto,4809.58,dia,4175.0,13.54
6,26-08-2022,3932.25,carrefour,5326.85,disco,4660.0,15.71
7,02-09-2022,4021.85,coto,5335.85,disco,4734.0,15.72
8,09-09-2022,3950.85,coto,5390.15,disco,4797.0,17.08
9,16-09-2022,4221.54,coto,5691.15,disco,5010.0,16.54
10,08-10-2022,4707.05,carrefour,5822.85,disco,5326.8,17.25
11,08-10-2022,4707.05,carrefour,5822.85,disco,5326.8,17.25
12,08-10-2022,4707.05,carrefour,5822.85,disco,5326.8,17.25
13,08-10-2022,4707.05,carrefour,5822.85,disco,5313.09,17.2
